N b a m s k r M V g
abcnews.go.com/us/weather/wirestory?id=7166541 20090327211732 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 O4GGKPBCK4JT22WIUIUUN4NZNF6ZLL57 - - 57724 ARCHIVEIT-1441-20090327211730-00000-crawling09.us.archive.org.arc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090327211732 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 O4GGKPBCK4JT22WIUIUUN4NZNF6ZLL57 - A 80368 ARCHIVEIT-1441-20090327211730-00000-crawling09.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090329211551 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 FGLFAGA4L7OVMLUDTPT6CVYZ3CYKIUOC - - 59460 ARCHIVEIT-1441-20090329211549-00000-crawling04.us.archive.org.arc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090329211551 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 FGLFAGA4L7OVMLUDTPT6CVYZ3CYKIUOC - A 79010 ARCHIVEIT-1441-20090329211549-00000-crawling04.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090331211719 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 2GZ3YWTUX5HIZBVMOJWI4R3CDMGPXQX5 - - 344373 ARCHIVEIT-1441-20090331211711-00000-crawling10.us.archive.org.arc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090331211719 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 2GZ3YWTUX5HIZBVMOJWI4R3CDMGPXQX5 - A 338365 ARCHIVEIT-1441-20090331211711-00000-crawling10.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090402211653 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 ST2LDOGUPQ5LTE7ROSRTKFH4MZHXQ7VK - A 179839 ARCHIVEIT-1441-20090402211650-00000-crawling105.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090404231144 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 CDBXOKSDEZBK64XAMSPTXUJHILDSFE3E - A 744134 ARCHIVEIT-1441-20090404231139-00000-crawling04.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090406211621 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 DHWCF4DEWBOTTM7HYIZOILUPFGIG2M5C - A 137201 ARCHIVEIT-1441-20090406211619-00000-crawling10.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090408211654 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 TE7AE7IWD6BRQ7R7UF6WO4DHX7ACAOE3 - A 751876 ARCHIVEIT-1441-20090408211651-00000-crawling105.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090410211625 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 UKQSBGEW3VCW4MFCNIA7DTTDVO6BSZZ3 - A 162938 ARCHIVEIT-1441-20090410211624-00000-crawling105.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090412230734 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 FPHFC7CL7WMKUFIOIFG257LPI2HNAN23 - A 305544 ARCHIVEIT-1441-20090412230731-00000-crawling01.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090414211650 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 IKUP7FD3DNWCZP56QKPEIFPBPILMST4P - A 692602 ARCHIVEIT-1441-20090414211643-00000-crawling09.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090422211715 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 7YLTRLJV7H2ODME2XTDVXRBBQBFOERRC - A 960772 ARCHIVEIT-1441-20090422211714-00000-crawling10.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090424211748 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 SEWYG65RDPMUA7IO5LR75QCTRJIN5VF3 - A 385901 ARCHIVEIT-1441-20090424211745-00000-crawling01.us.archive.org.warc.gz
abcnews.go.com/us/weather/wirestory?id=7166541 20090426211725 http://abcnews.go.com/US/Weather/wireStory?id=7166541 text/html 200 QJ7AZMWPH6GESMUGORO4G7V6MGWXRKZN - A 442646 ARCHIVEIT-1441-20090426211721-00000-crawling01.us.archive.org.warc.gz
